WD	WFS	TS	P
0.80	95.00	1.66	2245.00
0.80	95.00	1.67	2245.00
0.80	95.00	2.22	2245.00
0.80	95.00	2.22	2245.00
0.80	95.00	2.50	2245.00
0.80	95.00	2.50	2245.00
0.80	95.00	2.50	2245.00
0.80	95.00	3.33	2245.00
0.80	95.00	3.33	2245.00
0.80	95.00	3.33	2245.00
0.80	95.00	3.33	2245.00
0.80	95.00	3.33	2245.00
0.80	95.00	3.33	2245.00
0.80	95.00	3.34	2245.00
0.80	95.00	4.17	2245.00
0.80	95.00	4.17	2245.00
0.80	95.00	4.17	2245.00
0.80	95.00	4.44	2245.00
0.80	95.00	4.45	2245.00
0.80	95.00	4.45	2245.00
0.80	95.00	5.00	2245.00
0.80	95.00	5.00	2245.00
0.80	95.00	5.00	2245.00
0.80	95.00	5.01	2245.00
0.80	95.00	5.01	2245.00
0.80	95.00	5.56	2245.00
0.80	95.00	5.56	2245.00
0.80	95.00	5.56	2245.00
0.80	95.00	5.83	2245.00
0.80	95.00	5.83	2245.00
0.80	95.00	5.83	2245.00
0.80	95.00	6.66	2245.00
0.80	95.00	6.67	2245.00
0.80	95.00	6.67	2245.00
0.80	95.00	6.67	2245.00
0.80	95.00	6.67	2245.00
0.80	95.00	6.67	2245.00
0.80	95.00	6.67	2245.00
0.80	95.00	6.68	2245.00
0.80	95.00	7.50	2245.00
0.80	95.00	7.51	2245.00
0.80	95.00	7.77	2245.00
0.80	95.00	7.77	2245.00
0.80	95.00	7.78	2245.00
0.80	95.00	8.33	2245.00
0.80	95.00	8.33	2245.00
0.80	95.00	8.34	2245.00
0.80	95.00	8.89	2245.00
0.80	95.00	8.89	2245.00
0.80	95.00	8.89	2245.00
0.80	95.00	9.16	2245.00
0.80	95.00	10.00	2245.00
0.80	95.00	10.00	2245.00
0.80	95.00	10.01	2245.00
0.80	95.00	10.01	2245.00
0.80	95.00	10.84	2245.00
0.80	95.00	11.12	2245.00
0.80	95.00	11.66	2245.00
0.80	95.00	11.66	2245.00
0.80	95.00	11.67	2245.00
0.80	95.00	12.23	2245.00
0.80	95.00	12.50	2245.00
0.80	95.00	13.32	2245.00
0.80	95.00	13.34	2245.00
0.80	95.00	13.34	2245.00
0.80	95.00	14.44	2245.00
0.80	95.00	14.99	2245.00
0.80	95.00	15.56	2245.00
0.80	95.00	16.67	2245.00
0.80	95.00	16.67	2245.00
0.80	95.00	18.34	2245.00
0.80	95.00	19.98	2245.00
0.80	95.00	21.66	2245.00
0.80	95.00	23.33	2245.00
0.80	95.00	25.00	2245.00
