WD	WFS	TS	P	ME
0.80	39.33	5.00	531.22	0.396
0.80	48.33	6.66	693.84	0.414
0.80	66.83	8.34	959.70	0.433
0.80	80.00	10.00	1113.30	0.446
0.80	94.33	11.67	1277.70	0.445
0.80	103.67	13.34	1448.13	0.446
0.80	122.50	14.99	1727.29	0.482
0.80	137.17	16.67	1921.50	0.474
0.80	150.17	18.34	2090.78	0.482
0.80	166.67	19.98	2339.93	0.496
0.80	192.33	21.66	2596.50	0.541
0.80	204.33	23.33	2712.32	0.535
0.80	221.50	25.00	2873.25	0.544
0.80	42.00	3.33	550.86	0.376
0.80	54.00	4.45	714.15	0.423
0.80	64.83	5.56	911.20	0.413
0.80	75.33	6.67	1035.06	0.423
0.80	90.67	7.77	1229.80	0.420
0.80	105.50	8.89	1443.29	0.438
0.80	116.17	10.01	1632.55	0.441
0.80	124.67	11.12	1798.20	0.454
0.80	150.67	12.23	2104.66	0.469
0.80	164.83	13.34	2326.07	0.481
0.80	193.33	14.44	2625.20	0.517
0.80	203.67	15.56	2721.91	0.503
0.80	222.50	16.67	2873.70	0.538
0.80	40.33	2.50	538.94	0.393
0.80	49.83	3.33	707.17	0.408
0.80	60.67	4.17	901.97	0.420
0.80	80.33	5.00	1106.41	0.413
0.80	87.67	5.83	1236.27	0.406
0.80	99.83	6.67	1440.90	0.414
0.80	112.67	7.51	1714.14	0.422
0.80	123.17	8.33	1887.30	0.423
0.80	136.83	9.16	2073.18	0.441
0.80	182.00	10.84	2589.29	0.506
0.80	194.67	11.66	2706.62	0.505
0.80	214.67	12.50	2882.02	0.503
1.00	33.50	2.22	704.70	0.380
1.00	45.50	3.33	1072.59	0.382
1.00	59.17	4.44	1441.98	0.402
1.00	78.83	5.56	1891.50	0.422
1.00	89.00	6.67	2064.77	0.467
1.00	105.33	7.78	2384.35	0.498
1.00	121.33	8.89	2915.76	0.464
1.00	137.00	10.00	3266.55	0.499
1.00	32.17	1.66	680.00	0.356
1.00	44.83	2.50	1059.76	0.386
1.00	57.00	3.33	1407.78	0.394
1.00	71.17	4.17	1788.14	0.412
1.00	90.50	5.00	2068.20	0.453
1.00	100.33	5.83	2323.55	0.466
1.00	123.33	6.67	2970.96	0.476
1.00	136.17	7.50	3234.85	0.491
1.20	29.50	3.33	1025.13	0.349
1.20	39.50	5.01	1373.92	0.391
1.20	47.67	6.68	1737.51	0.410
1.20	55.17	8.33	1970.48	0.428
1.20	66.67	10.01	2119.73	0.507
1.20	77.67	11.66	2518.50	0.511
1.20	91.67	13.32	3072.17	0.532
1.20	29.33	2.22	1010.42	0.337
1.20	36.67	3.33	1363.65	0.363
1.20	47.50	4.45	1753.75	0.414
1.20	55.67	5.56	1998.89	0.461
1.20	68.17	6.67	2188.55	0.514
1.20	75.67	7.77	2486.28	0.492
1.20	91.00	8.89	2974.39	0.553
1.20	28.00	1.67	954.16	0.307
1.20	34.67	2.50	1299.52	0.350
1.20	44.33	3.34	1688.92	0.372
1.20	57.33	4.17	1996.29	0.446
1.20	70.00	5.01	2177.65	0.488
1.20	80.17	5.83	2528.29	0.470
1.20	89.33	6.67	2887.92	0.500
